Sample Result Name,Type,Measure Date Time,Recalculation Date Time,Origin,Method Name,Operator Name,Check Type,Check Status,Grade Verification Name,Grade Verification Similarity,Correction Type,Outlier Test Type,Status,,,
TIN ANODE 60 CM.,Unknown,11/1/2564 14:00,11/1/2564 14:09,Measured,Sn-10,Operator,Grade Warning,OK,KOKI SPECIFICATION [100],0,None,None,Not Used,,,
Sample Name,Grade,Lot No.,Report No.,Sample Id.,FC,CC,Diam,Stamp,F-QC02-03-02:2014-04-01,,,,,,,
TIN ANODE 60 CM.,KOKI SPECIFICATION [100],A01116431,CFG01116402,10-Á.¤.,,,,,,,,,,,,
,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P
,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,99.944,0.0001,0.0009,0.0059,0.0004,0.0037,0.0118,0,0.0021,0.0192,0.0007,0.0004,0.0007,0.0075,<0.0002,<0.0006
2,99.942,0.0001,0.0008,0.0057,0.0004,0.0063,0.0116,0.0002,0.002,0.0195,0.0009,0.0002,0.0007,0.0072,<0.0002,<0.0006
3,99.942,0.0001,0.0008,0.0056,0.0004,0.0051,0.0114,0.0002,0.0024,0.0202,0.0005,0.0001,0.0007,0.0069,<0.0002,<0.0006
4,99.944,0.0001,0.0009,0.0057,0.0004,0.004,0.0114,0.0001,0.0021,0.0194,0.0008,0.0003,0.0007,0.0072,<0.0002,<0.0006
5,99.942,0.0001,0.0009,0.0054,0.0004,0.0066,0.0112,0.0002,0.0019,0.02,0.0007,0.0003,0.0007,0.007,<0.0002,<0.0006
6,99.941,0.0001,0.0008,0.0054,0.0004,0.0064,0.0112,0.0002,0.002,0.0201,0.0009,0.0003,0.0007,0.0067,<0.0002,<0.0006
7,99.942,0.0001,0.0008,0.0054,0.0004,0.0063,0.0111,0.0002,0.0021,0.0186,0.0008,0.0003,0.0006,0.0071,<0.0002,<0.0006
8,99.943,0.0001,0.0008,0.0055,0.0004,0.005,0.0114,0.0001,0.002,0.0198,0.0009,0.0002,0.0007,0.0071,<0.0002,<0.0006
9,99.943,0.0001,0.0008,0.0057,0.0004,0.0053,0.0116,0.0001,0.0019,0.0197,0.0007,0.0001,0.0007,0.0073,<0.0002,<0.0006
10,99.945,0.0001,0.0008,0.0056,0.0004,0.0038,0.0116,<0.0000,0.0019,0.0192,0.0005,0.0004,0.0007,0.0074,<0.0002,<0.0006
Mean,99.943,0.0001,0.0008,0.0056,0.0004,0.0053,0.0114,0.0001,0.002,0.0196,0.0007,0.0003,0.0007,0.0072,<0.0002,<0.0006
