Sample Result Name,Type,Measure Date Time,Recalculation Date Time,Origin,Method Name,Operator Name,Check Type,Check Status,Grade Verification Name,Grade Verification Similarity,Correction Type,Outlier Test Type,Status,,,
TIN ANODE STAR 70 CM.,Unknown,12/8/2564 14:21,12/7/2564 14:45,Measured,Sn-10,Operator,Grade Warning,OK,KOKI SPECIFICATION [100],0,None,None,Not Used,,,
Sample Name,Grade,Lot No.,Report No.,Sample Id.,FC,CC,Diam,Stamp,F-QC02-03-02:2014-04-01,,,,,,,
TIN ANODE STAR 70 CM.,KOKI SPECIFICATION [100],A07126431,CFG07126402,20-Á.¤.,,,,,,,,,,,,
,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P
,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,99.964,0.0001,0.0012,0.0041,0.0006,0.0038,0.0071,<0.0000,0.0019,0.0033,0.0007,0.0004,0.001,0.0014,<0.0002,<0.0006
2,99.964,0.0001,0.0012,0.0042,0.0005,0.0043,0.0073,<0.0000,0.0018,0.0039,0.0007,0.0003,0.001,0.0013,<0.0002,<0.0006
3,99.956,0.0002,0.0011,0.0045,0.0006,0.0061,0.0077,0.0002,0.0021,0.0058,0.0008,0.0002,0.001,0.0013,<0.0002,<0.0006
4,99.963,0.0002,0.0011,0.0045,0.0005,0.0054,0.0079,0.0001,0.0018,0.006,0.0007,0.0003,0.0011,0.0012,<0.0002,<0.0006
5,99.961,0.0001,0.0012,0.0043,0.0006,0.0035,0.0074,<0.0000,0.0021,0.0044,0.0007,0.0005,0.001,0.0014,<0.0002,<0.0006
6,99.952,0.0002,0.0011,0.0044,0.0005,0.0052,0.008,0.0002,0.0019,0.0062,0.0008,0.0002,0.0011,0.0013,<0.0002,<0.0006
7,99.961,0.0002,0.0011,0.0045,0.0005,0.0039,0.008,0.0001,0.0017,0.0061,0.0007,0.0001,0.0011,0.0012,<0.0002,<0.0006
8,99.96,0.0002,0.0011,0.0044,0.0004,0.0045,0.0081,0.0001,0.0017,0.006,0.0008,0.0003,0.0011,0.0013,<0.0002,<0.0006
9,99.962,0.0001,0.0011,0.0044,0.0004,0.0036,0.008,0,0.0016,0.0059,0.0007,0.0002,0.0011,0.0013,<0.0002,<0.0006
10,99.963,0.0002,0.0011,0.0046,0.0004,0.0041,0.008,0.0001,0.0017,0.006,0.0007,0.0004,0.0011,0.0013,<0.0002,<0.0006
11,99.965,0.0002,0.0011,0.0046,0.0005,0.0041,0.008,0.0001,0.0016,0.0059,0.0007,0.0003,0.0011,0.0012,<0.0002,<0.0006
12,99.967,0.0001,0.0011,0.0044,0.0004,0.0036,0.0081,0.0001,0.0016,0.006,0.0007,0,0.0011,0.0012,<0.0002,<0.0006
13,99.956,0.0002,0.0011,0.0052,0.0006,0.0054,0.0078,0.0002,0.0021,0.006,0.0009,0.0002,0.001,0.0014,<0.0002,<0.0006
14,99.962,0.0002,0.0011,0.0045,0.0005,0.005,0.0079,0.0002,0.0018,0.0062,0.0007,0.0004,0.0011,0.0013,<0.0002,<0.0006
15,99.966,0.0002,0.0011,0.0044,0.0005,0.0047,0.008,0.0001,0.0016,0.0059,0.0007,0.0001,0.0011,0.0013,<0.0002,<0.0006
16,99.956,0.0002,0.0012,0.0048,0.0006,0.0051,0.0078,0.0001,0.002,0.0058,0.0008,0.0002,0.001,0.0013,<0.0002,<0.0006
17,99.952,0.0001,0.0013,0.0041,0.0007,0.0043,0.0069,<0.0000,0.0023,0.0032,0.0007,0.0005,0.0009,0.0014,<0.0002,<0.0006
18,99.961,0.0002,0.0012,0.0045,0.0006,0.0035,0.0073,0,0.002,0.0044,0.0007,0.0006,0.001,0.0014,<0.0002,<0.0006
19,99.965,0.0001,0.0011,0.0048,0.0005,0.0034,0.0078,0,0.0017,0.0055,0.0007,0.0003,0.0011,0.0013,<0.0002,<0.0006
20,99.968,0.0001,0.0011,0.0044,0.0004,0.0039,0.0078,<0.0000,0.0015,0.0054,0.0007,0.0003,0.0011,0.0012,<0.0002,<0.0006
Mean,99.961,0.0002,0.0011,0.0045,0.0005,0.0044,0.0077,0.0001,0.0018,0.0054,0.0007,0.0003,0.001,0.0013,<0.0002,<0.0006
