Sample Result Name,Type,Measure Date Time,Recalculation Date Time,Origin,Method Name,Operator Name,Check Type,Check Status,Grade Verification Name,Grade Verification Similarity,Correction Type,Outlier Test Type,Status,,,
ETB 60% [1.0*2.0*30.5 CM.],Unknown,21/10/2564 13:28,21/10/2564 13:57,Measured,Sn-01,Operator,Grade Warning,OK,JIS Z 3282-2006 Sn60Pb40A,0,None,None,Not Used,,,
Sample Name,Quality,Lot No.,Report No.,Sample Id.,FC,CC,Diam,Stamp,F-QC02-03-02:2014-04-01,,,,,,,
ETB 60% [1.0*2.0*30.5 CM.],JIS Z 3282-2006 Sn60Pb40A,E21106421,CFG21106401,20-Á.¤.,,,,,,,,,,,,
,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P
,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc,Conc
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1,60.359,0.0174,0.0341,39.5307,0.0003,0.0035,0.0097,0.0002,0.0017,0.0104,0.0007,0.0014,0.0006,0.0055,0.0005,<0.0006
2,59.973,0.0172,0.0329,39.9219,0.0003,0.0027,0.0097,0.0002,0.0017,0.0103,0.0009,0.0017,0.0006,0.0056,0.0003,<0.0006
3,59.832,0.0177,0.0325,40.0649,0.0003,0.0016,0.0097,0.0002,0.0017,0.0105,0.0005,0.0017,0.0006,0.0056,<0.0002,<0.0006
4,59.532,0.0175,0.0324,40.3657,0.0003,0.0015,0.0097,0.0002,0.0017,0.0103,0.0008,0.0012,0.0006,0.0057,<0.0002,<0.0006
5,60.045,0.0177,0.0328,39.8426,0.0003,0.0017,0.0096,0.0002,0.0019,0.0105,0.0008,0.0014,0.0006,0.0056,0.0003,<0.0006
6,59.905,0.018,0.0325,39.9886,0.0004,0.0009,0.0097,0.0002,0.0018,0.0103,0.0007,0.0016,0.0006,0.0057,<0.0002,<0.0006
7,59.766,0.0179,0.0326,40.1303,0.0003,0.001,0.0098,0.0002,0.0017,0.0106,0.0008,0.0016,0.0006,0.0057,<0.0002,<0.0006
8,60.297,0.0175,0.0333,39.593,0.0003,0.0015,0.0098,0.0002,0.0021,0.0101,0.0007,0.0018,0.0006,0.0057,0.0003,<0.0006
9,60.153,0.0175,0.033,39.7423,0.0003,0.0009,0.0097,0.0002,0.0019,0.0101,0.0008,0.0013,0.0006,0.0058,<0.0002,<0.0006
10,60.154,0.0174,0.0331,39.7399,0.0003,0.001,0.0096,0.0002,0.0019,0.0102,0.0006,0.0017,0.0006,0.0057,0.0002,<0.0006
11,60.216,0.0173,0.0338,39.6712,0.0003,0.0029,0.0097,0.0002,0.0019,0.0103,0.0006,0.0018,0.0006,0.0056,0.0005,<0.0006
12,60.201,0.0174,0.032,39.699,0.0003,<0.0005,0.0098,0.0002,0.0018,0.0103,0.0007,0.0012,0.0006,0.0059,<0.0002,<0.0006
13,60.224,0.0176,0.0348,39.6681,0.0003,0.0035,0.0098,0.0002,0.0018,0.0103,0.0006,0.0017,0.0006,0.0056,0.0005,<0.0006
14,60.462,0.0176,0.0331,39.4301,0.0004,0.0028,0.0097,0.0002,0.0018,0.0101,0.0008,0.0017,0.0006,0.0056,0.0005,0.0008
15,60.082,0.0177,0.0336,39.8126,0.0003,0.0016,0.0096,0.0002,0.0018,0.0105,0.0006,0.0017,0.0006,0.0057,0.0002,<0.0006
16,60.193,0.0174,0.0333,39.7049,0.0003,0.0007,0.0096,0.0002,0.0017,0.0102,0.0007,0.0015,0.0006,0.0057,0.0002,<0.0006
17,60.422,0.0175,0.033,39.4723,0.0003,0.0027,0.0099,0.0002,0.0016,0.0102,0.0009,0.0018,0.0006,0.0056,0.0004,<0.0006
18,60.212,0.0177,0.0328,39.686,0.0003,0.0008,0.0098,0.0002,0.0016,0.0101,0.0005,0.0018,0.0006,0.0057,<0.0002,<0.0006
19,60.166,0.0175,0.0328,39.7276,0.0004,0.0019,0.0097,0.0002,0.0019,0.0099,0.0006,0.0016,0.0006,0.0056,0.0003,<0.0006
20,59.754,0.0176,0.0329,40.1436,0.0003,0.0008,0.0097,0.0003,0.0016,0.0105,0.0006,0.0016,0.0006,0.0057,<0.0002,<0.0006
Mean,60.097,0.0175,0.0331,39.7968,0.0003,0.0017,0.0097,0.0002,0.0018,0.0103,0.0007,0.0016,0.0006,0.0057,0.0003,0.0006
