Spec Name,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P,S,Ni + CO,Sn+Sb,Remark,Remark2,
JIS H 2105 SPEC 99.99%,99.99 Min,,0.002,0.003,,0.001,,,0.003,0.002,,,,,,,,,,JIS H 2108-2009,Tin ball 99.99%,
JIS Z 3282-2006 Pb65Sn35,34.5-35.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,,
JIS Z 3282-2006 Pb70Sn30,29.5-30.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,,
JIS Z 3282-2006 Pb75Sn25,24.5-25.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,,
JIS Z 3282-2006 Pb76Sn24,23.5-24.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,0-24%,
JIS Z 3282-2006 Pb80Sn20,19.5-20.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,Solder Sn/Pb,
JIS Z 3282-2006 Pb90Sn10,9.5-10.5,0.1,0.08,Reminder,0.001,0.03,0.25,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,Solder Sn/Pb,
JIS Z 3282-2006 Pb95Sn5,4.5-5.5,0.1,0.08,Reminder,0.001,0.03,0.1,0.005,0.02,0.5,0.001,0.05,0.1,0.01,,,,,,,Bar 5%,
KOKI SPECIFICATION OF LEAD [99.90%],0.0005,0.002,0.001,99.9 Min,,0.001,0.01,0.001,0.0005,0.001,0.0005,,,0.001,,,0.001,,,,Lead pipe 99.90%,PS-MK-05-01
KOKI SPECIFICATION OF LEAD [99.99%],0.001,0.001,0.001,99.99 Min,,0.001,0.005,,,0.001,0.001,,,,,,,,,,Lead ingot 99.99%,PS-MK-05-03
SPEC 21%Sn (50B),Min 21%,,,,,,,,,,,,,,,,,,,,,
Spec 30%Sn,Min 30%,,,,,,,,,,,,,,,,,,,,,
SPEC 32%,Min 32%,,,,,,,,,,,,,,,,,,,,,
Spec 50%Sn,Min 50%,,,,,,,,,,,,,,,,,,,,,
SPEC 50B(21%),Min 21%,,,,,,,,,,,,,,,,,,,,,
SPEC PA1,,0.8-1.2,0.005,Balance,0.001,0.005,0.05,0.002,0.005,,0.002,0.05,0.1,0.01,,,,,0.01,Alloy bar PA1,,
SPEC SPA8410,14.5-15.5,0.8-1.2,0.08,Balance,0.001,0.03,0.25,0.002,0.02,0.2,0.001,0.05,0.1,0.01,,,,,,53-SPA8410,,
SPEC SPA96802             ,2.7-3.3,0.15-0.25,0.08,Balance,0.001,0.03,0.25,0.002,0.02,0.2,0.001,0.05,0.1,0.01,,,,,,Alloy bar SPA96802,,
SPF Pure Lead,0.0005,0.002,0.001,99.99 min,,0.001,0.01,0.001,0.0005,0.001,0.0005,,,0.001,,,0.001,,,Lead bar 99.99%,,
